Redshift,K-band mag,K-band dmag
 0.162, 18.342, 0.037
 0.143, 21.815, 0.664
 0.169, 20.663, 0.278
 0.135, 17.864, 0.024
 0.144, 18.221, 0.033
 0.174, 21.475, 0.521
 0.035, 18.109, 0.030
 0.167, 18.801, 0.056
 0.188, 21.016, 0.369
 0.175, 19.748, 0.128
 0.082, 19.012, 0.067
 0.056, 19.430, 0.097
 0.188, 16.029, 0.004
 0.133, 21.450, 0.512
 0.150, 19.822, 0.137
 0.075, 18.338, 0.037
 0.178, 20.913, 0.340
 0.191, 21.554, 0.552
 0.116, 21.611, 0.576
 0.122, 21.587, 0.566
 0.185, 21.994, 0.750
 0.050, 21.744, 0.632
 0.170, 21.030, 0.372
 0.137, 20.950, 0.350
 0.191, 19.938, 0.151
 0.189, 17.255, 0.014
 0.182, 20.236, 0.195
 0.153, 21.706, 0.615
 0.140, 19.615, 0.114
 0.154, 18.322, 0.036
 0.057, 19.987, 0.158
 0.023, 20.290, 0.204
 0.060, 20.079, 0.171
 0.065, 19.437, 0.098
 0.183, 16.877, 0.010
 0.173, 21.802, 0.658
 0.083, 15.201, 0.002
 0.161, 18.545, 0.044
 0.185, 21.324, 0.466
 0.095, 21.409, 0.497
 0.167, 21.309, 0.461
 0.140, 16.268, 0.006
 0.189, 21.123, 0.400
 0.117, 20.709, 0.289
 0.151, 16.423, 0.006
 0.164, 21.573, 0.560
 0.133, 19.341, 0.090
 0.133, 17.783, 0.022
 0.043, 17.852, 0.024
 0.107, 20.399, 0.224
 0.171, 21.770, 0.644
 0.136, 12.571, 0.000
 0.137, 17.819, 0.023
 0.177, 20.874, 0.329
 0.163, 20.037, 0.165
 0.185, 20.869, 0.328
 0.152, 21.509, 0.535
 0.144, 19.992, 0.159
 0.110, 20.585, 0.261
 0.199, 20.678, 0.281
 0.189, 16.460, 0.007
 0.179, 21.882, 0.695
 0.140, 20.562, 0.256
 0.067, 19.269, 0.084
 0.141, 21.381, 0.487
 0.121, 15.807, 0.004
 0.158, 21.890, 0.699
 0.187, 17.942, 0.026
 0.150, 21.948, 0.727
 0.061, 21.402, 0.494
 0.143, 19.205, 0.080
 0.156, 19.375, 0.093
 0.179, 20.683, 0.282
 0.189, 19.147, 0.076
 0.139, 21.528, 0.542
 0.161, 18.643, 0.048
 0.080, 20.779, 0.305
 0.182, 18.946, 0.063
 0.178, 16.896, 0.010
 0.139, 18.228, 0.033
 0.161, 17.176, 0.013
 0.033, 19.981, 0.157
 0.189, 17.905, 0.025
 0.108, 19.189, 0.079
 0.158, 19.943, 0.152
 0.109, 18.303, 0.035
 0.112, 19.108, 0.073
 0.173, 21.403, 0.494
 0.074, 21.844, 0.677
 0.188, 21.530, 0.543
 0.160, 21.486, 0.526
 0.052, 21.937, 0.722
 0.196, 20.946, 0.349
 0.077, 21.746, 0.633
 0.166, 21.524, 0.541
 0.133, 21.871, 0.690
 0.129, 17.188, 0.013
 0.160, 16.213, 0.005
 0.192, 17.614, 0.019
 0.066, 21.593, 0.568
 0.179, 16.806, 0.009
 0.083, 15.035, 0.002
 0.189, 20.269, 0.201
 0.065, 18.046, 0.028
 0.183, 20.147, 0.181
 0.077, 19.983, 0.157
 0.148, 20.672, 0.280
 0.166, 21.493, 0.528
 0.173, 20.761, 0.301
 0.177, 20.262, 0.200
 0.165, 20.012, 0.161
 0.163, 15.876, 0.004
 0.194, 19.438, 0.098
 0.141, 20.603, 0.265
 0.144, 19.744, 0.128
 0.175, 16.969, 0.010
 0.128, 19.678, 0.121
 0.099, 18.954, 0.064
 0.096, 20.263, 0.200
 0.163, 17.617, 0.019
 0.117, 17.966, 0.026
 0.187, 17.954, 0.026
 0.052, 11.040, 0.000
 0.159, 20.298, 0.206
 0.154, 17.316, 0.014
 0.195, 20.559, 0.256
 0.095, 16.164, 0.005
 0.143, 13.456, 0.000
 0.170, 21.461, 0.516
 0.147, 19.146, 0.076
 0.060, 18.794, 0.055
 0.152, 21.944, 0.725
 0.133, 19.189, 0.079
 0.194, 19.158, 0.077
 0.146, 16.473, 0.007
 0.188, 19.942, 0.152
 0.101, 13.774, 0.001
 0.149, 17.191, 0.013
 0.038, 18.478, 0.042
 0.190, 20.925, 0.343
 0.149, 19.875, 0.143
 0.142, 20.328, 0.211
 0.072, 20.935, 0.346
 0.199, 17.195, 0.013
 0.175, 13.991, 0.001
 0.187, 16.920, 0.010
 0.058, 15.020, 0.002
 0.059, 21.639, 0.587
 0.112, 21.941, 0.723
 0.083, 21.007, 0.366
 0.154, 19.621, 0.115
 0.137, 21.540, 0.547
 0.193, 20.760, 0.301
 0.136, 18.759, 0.054
 0.104, 18.165, 0.031
 0.186, 13.963, 0.001
 0.165, 21.082, 0.388
 0.113, 20.157, 0.183
 0.150, 20.808, 0.313
 0.141, 21.582, 0.564
 0.099, 19.865, 0.142
 0.172, 19.669, 0.120
 0.177, 21.310, 0.461
 0.101, 21.876, 0.692
 0.187, 20.639, 0.273
 0.116, 21.771, 0.644
 0.154, 16.953, 0.010
 0.195, 21.652, 0.593
 0.152, 21.195, 0.423
 0.078, 14.489, 0.001
 0.157, 21.128, 0.402
 0.188, 19.437, 0.098
 0.175, 18.727, 0.052
 0.135, 21.536, 0.545
 0.145, 16.991, 0.011
 0.153, 20.556, 0.255
 0.113, 21.247, 0.440
 0.110, 17.131, 0.012
 0.140, 21.442, 0.509
 0.109, 15.938, 0.004
 0.071, 18.645, 0.048
 0.119, 21.315, 0.463
 0.192, 21.826, 0.669
 0.159, 20.402, 0.224
 0.163, 19.245, 0.083
 0.134, 15.635, 0.003
 0.062, 20.748, 0.298
 0.176, 21.207, 0.427
 0.085, 20.382, 0.221
 0.131, 21.684, 0.606
 0.067, 14.676, 0.001
 0.162, 17.434, 0.016
 0.184, 13.195, 0.000
 0.125, 21.975, 0.740
 0.186, 20.735, 0.295
 0.184, 19.708, 0.124
 0.139, 17.800, 0.022
 0.058, 15.942, 0.004
 0.104, 19.424, 0.097
 0.119, 19.775, 0.132
 0.164, 20.661, 0.278
 0.185, 18.377, 0.038
 0.075, 21.169, 0.415
 0.193, 19.396, 0.094
 0.171, 20.026, 0.163
 0.198, 18.986, 0.066
 0.196, 20.769, 0.303
 0.122, 18.839, 0.058
 0.114, 17.533, 0.018
 0.072, 20.527, 0.249
 0.169, 19.690, 0.122
 0.102, 15.636, 0.003
 0.155, 20.741, 0.296
 0.139, 18.366, 0.038
 0.115, 19.260, 0.084
 0.142, 13.522, 0.000
 0.138, 21.601, 0.571
 0.186, 21.579, 0.562
 0.180, 20.541, 0.252
 0.129, 20.682, 0.282
 0.165, 14.510, 0.001
 0.093, 21.464, 0.517
 0.133, 17.622, 0.019
 0.090, 18.072, 0.029
 0.160, 21.622, 0.580
 0.059, 19.648, 0.118
 0.172, 20.391, 0.222
 0.170, 20.194, 0.188
 0.144, 21.100, 0.393
 0.060, 21.002, 0.364
 0.172, 16.915, 0.010
 0.103, 21.508, 0.534
 0.182, 21.607, 0.574
 0.085, 14.823, 0.001
 0.151, 17.460, 0.016
 0.167, 20.232, 0.195
 0.107, 15.432, 0.003
 0.122, 20.131, 0.179
 0.117, 21.685, 0.606
 0.193, 21.215, 0.429
 0.181, 19.211, 0.080
 0.148, 17.256, 0.014
 0.182, 21.372, 0.483
 0.175, 21.670, 0.600
 0.169, 17.113, 0.012
 0.141, 20.407, 0.225
 0.031, 21.806, 0.660
 0.195, 17.824, 0.023
 0.145, 17.059, 0.011
 0.164, 21.660, 0.596
 0.182, 20.396, 0.223
 0.188, 18.618, 0.047
 0.199, 20.994, 0.362
 0.150, 14.597, 0.001
 0.153, 20.601, 0.264
 0.163, 21.980, 0.743
 0.139, 18.977, 0.065
 0.085, 17.920, 0.025
 0.089, 19.246, 0.083
 0.181, 18.700, 0.051
 0.151, 16.371, 0.006
 0.080, 19.083, 0.072
 0.100, 21.811, 0.662
 0.194, 20.908, 0.338
 0.196, 21.374, 0.484
 0.140, 21.710, 0.617
 0.145, 13.925, 0.001
 0.183, 15.295, 0.002
 0.142, 21.247, 0.440
 0.163, 21.642, 0.588
 0.065, 21.015, 0.368
 0.074, 21.701, 0.613
 0.189, 21.712, 0.618
 0.159, 21.405, 0.495
 0.146, 20.520, 0.247
 0.180, 21.430, 0.504
 0.114, 21.601, 0.571
 0.178, 21.242, 0.438
 0.118, 21.313, 0.463
 0.099, 21.217, 0.430
 0.096, 19.533, 0.107
 0.195, 20.127, 0.178
 0.165, 19.252, 0.083
 0.143, 18.137, 0.031
 0.186, 19.887, 0.145
 0.101, 21.203, 0.426
 0.197, 18.306, 0.036
 0.166, 19.177, 0.078
 0.087, 21.372, 0.484
 0.081, 18.537, 0.044
 0.135, 21.038, 0.375
 0.127, 21.077, 0.386
 0.182, 15.465, 0.003
 0.176, 21.382, 0.487
 0.044, 21.722, 0.622
 0.187, 15.702, 0.003
 0.192, 21.290, 0.455
 0.038, 17.231, 0.013
 0.110, 17.257, 0.014
 0.149, 21.382, 0.487
 0.133, 18.560, 0.045
 0.181, 21.581, 0.563
 0.190, 17.812, 0.023
 0.073, 21.502, 0.532
 0.174, 19.601, 0.113
 0.163, 19.745, 0.128
 0.020, 16.525, 0.007
 0.195, 20.762, 0.301
 0.155, 20.360, 0.217
 0.109, 17.066, 0.011
 0.185, 18.413, 0.039
 0.122, 21.300, 0.458
 0.021, 20.151, 0.182
 0.190, 18.523, 0.043
 0.149, 17.433, 0.016
 0.150, 20.681, 0.282
 0.037, 21.588, 0.566
 0.068, 17.835, 0.023
 0.172, 14.019, 0.001
 0.187, 19.274, 0.085
 0.198, 19.710, 0.124
 0.049, 13.407, 0.000
 0.182, 20.585, 0.261
 0.094, 17.122, 0.012
 0.058, 19.513, 0.105
 0.126, 19.401, 0.095
 0.193, 20.549, 0.253
 0.170, 18.570, 0.045
 0.096, 17.200, 0.013
 0.148, 21.079, 0.387
 0.165, 16.821, 0.009
 0.179, 16.702, 0.008
 0.066, 17.423, 0.016
 0.034, 18.083, 0.029
 0.188, 17.997, 0.027
 0.149, 12.592, 0.000
 0.072, 19.535, 0.107
 0.153, 19.945, 0.152
 0.153, 18.332, 0.036
 0.192, 20.153, 0.182
 0.129, 17.667, 0.020
 0.158, 21.527, 0.542
 0.088, 16.195, 0.005
 0.113, 21.247, 0.440
 0.119, 17.592, 0.019
 0.152, 19.761, 0.130
 0.154, 18.804, 0.056
 0.196, 21.984, 0.744
 0.147, 17.882, 0.024
 0.018, 20.235, 0.195
 0.198, 21.932, 0.719
 0.197, 16.824, 0.009
 0.185, 21.030, 0.373
 0.194, 20.488, 0.241
 0.154, 16.316, 0.006
 0.161, 19.370, 0.092
 0.178, 19.559, 0.109
 0.135, 14.067, 0.001
 0.164, 20.204, 0.190
 0.174, 17.825, 0.023
 0.118, 17.840, 0.023
 0.090, 21.481, 0.524
 0.172, 20.339, 0.213
 0.095, 20.751, 0.299
 0.035, 19.783, 0.132
 0.109, 21.552, 0.552
 0.125, 19.901, 0.147
 0.105, 20.728, 0.293
 0.182, 17.315, 0.014
 0.144, 20.640, 0.273
 0.164, 18.076, 0.029
 0.148, 21.676, 0.603
 0.125, 21.516, 0.538
 0.190, 20.589, 0.262
 0.196, 20.019, 0.162
 0.152, 20.869, 0.328
 0.184, 19.817, 0.136
 0.194, 17.931, 0.025
 0.183, 15.088, 0.002
 0.145, 21.951, 0.728
 0.094, 19.825, 0.137
 0.089, 12.524, 0.000
 0.190, 21.339, 0.472
 0.162, 20.522, 0.248
 0.189, 20.125, 0.178
 0.191, 21.687, 0.607
 0.162, 18.701, 0.051
 0.146, 21.455, 0.514
 0.049, 20.524, 0.248
 0.144, 15.978, 0.004
 0.134, 19.601, 0.113
 0.091, 15.836, 0.004
 0.134, 17.497, 0.017
 0.191, 16.495, 0.007
 0.196, 16.407, 0.006
 0.115, 17.875, 0.024
 0.076, 21.752, 0.636
 0.115, 21.378, 0.486
 0.166, 20.407, 0.225
 0.144, 21.389, 0.489
 0.134, 21.179, 0.418
 0.088, 18.305, 0.036
 0.161, 18.696, 0.051
 0.191, 16.760, 0.009
 0.184, 17.083, 0.012
 0.161, 12.916, 0.000
 0.142, 21.732, 0.627
 0.144, 16.634, 0.008
 0.173, 16.874, 0.010
 0.116, 20.349, 0.215
 0.121, 19.682, 0.121
 0.180, 20.766, 0.302
 0.166, 21.348, 0.475
 0.194, 17.471, 0.017
 0.135, 19.604, 0.113
 0.196, 21.905, 0.706
 0.180, 17.587, 0.018
 0.117, 19.167, 0.077
 0.192, 18.509, 0.043
 0.181, 15.254, 0.002
 0.138, 17.397, 0.016
 0.191, 20.913, 0.340
 0.176, 18.977, 0.065
 0.179, 19.094, 0.072
 0.163, 21.036, 0.374
 0.043, 21.383, 0.487
 0.166, 21.795, 0.655
 0.186, 14.977, 0.002
 0.116, 20.341, 0.213
